Short Description,Common Abbr.,Paper Abbr.,Python Var
Total concentration of RuBisCO catalytic sites,$E_\mathrm{RuBisCO|Total}$,$E_\mathrm{T}$,Et
Light absorbed by PSII when $f_\mathrm{Cyc} = 0$,$I_\mathrm{2|0}$,"$I_\mathrm{2,0}$",I2_0
Light absorbed by PSI when $f_\mathrm{Cyc} = 0$,$I_\mathrm{1|0}$,"$I_\mathrm{1,0}$",I1_0
Michealis-Menten constant for RuBP in RuBisCO carboxylation,$K_{\mathrm{m|RuBisCO|RuBP}}^\'$,$K_{\mathrm{m\ RuBP}}^\'$,km_v_RuBisCO_c_RUBP_extra
Function that relatives RuBP concentration to concentration of RuBisCO active sites,$f\left(\mathrm{RUBP}\right)$,$f\left(\mathrm{RuBP}\right)$,f_rubp
Steady state value of the RuBisCO activation state ($R_\mathrm{act}$),$R_\mathrm{act|steady}$,$R_\mathrm{act\ eq}$,Ract_eq
Quantity that reduces PSI when the cyclic electron flow is engaged,$\chi$,$\chi$,chi
Light absorbed by PSI,$I_1$,$I_1$,I1
Proportion of electron flow at PSI which follows CEF,$f_\mathrm{Cyc}$,$f_\mathrm{Cyc}$,f_cyc
Light absorbed by PSII,$I_2$,$I_2$,I2
Electron flow through PSII,$J_2$,$J_2$,J2
Electron flow through PSI,$J_1$,$J_1$,J1
Fraction of $J_1$ used by alternative electron sinks,$f_\mathrm{Pseudocyc}$,$f_\mathrm{Pseudocyc}$,f_pseudocyc
Steady state value of the total NADPH production,$J_\mathrm{NADPH|steady}$,$J_\mathrm{NADPH}$,J_NADPH_steady
Steady state value of the total ATP production,$J_\mathrm{ATP|steady}$,$J_\mathrm{ATP}$,J_ATP_steady
Steady state value of the stomatal conductance of water vapour to the atmosphere,$g_\mathrm{S|steady}$,$g_\mathrm{S}$,gs_steady
