Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$1.5$,,AP_tot,
,,,$15$,,Pi_tot,
,,,$210000$,,p_o2,
,,,$833300$,,Kh_o2,
,,,$0.03$,,V_m,
,,,$1500$,,PPFD,
,,,$0.001$,,RLight,
,,,$0.43$,,s,
,,,$0.72$,,PhiPSII_LL,
,,,$1$,,PhiPSI_LL,
,,,$0.00125$,,alpha_ppfd_PhiPSII,
,,,$-0.8$,,V0_ppfd_PhiPSII,
,,,$0.7$,,theta_ppfd_PhiPSII,
,,,$0.01$,,f_pseudocycNR,
,,,$1$,,fq,
,,,$0$,,f_ndh,
,,,$4$,,h,
,,,$400$,,Ca,
,,,$0.0018$,,alpha_ppfd_rub,
,,,$0.16$,,V0_ppfd_rub,
,,,$0.95$,,theta_ppfd_rub,
,,,$400$,,alpha_co2,
,,,$-0.2$,,V0_co2,
,,,$0.98$,,theta_co2,
,,,$360$,,tau_i,
,,,$1200$,,tau_d,
,,,$0.014$,,km_v_RuBisCO_c_CO2,
,,,$0.02$,,km_v_RuBisCO_c_RUBP,
,,,$0.222$,,km_v_RuBisCO_c_O2,
,,,$2.52$,,ki_v_RuBisCO_c_PGA,
,,,$0.21$,,ki_v_RuBisCO_c_NADP_st,
,,,$0.2$,,ki_v_RuBisCO_c_ADP_st,
,,,$3.6$,,ki_v_RuBisCO_c_Pi_st,
,,,$0.2$,,vmax_v_RuBisCO_c,
,,,$4.7$,,kcat_v_RuBisCO_c,
,,,$2200$,,S_co_gas,
,,,$1.17$,,vmax_v_PRKase,
,,,$6846$,,keq_v_PRKase,
,,,$0.625$,,km_v_PRKase_ATP_st,
,,,$0.1$,,ki_v_PRKase_ADP_st,
,,,$0.034$,,km_v_PRKase_RU5P,
,,,$2$,,ki_v_PRKase_PGA,
,,,$0.7$,,ki_v_PRKase_RUBP,
,,,$4$,,ki_v_PRKase_Pi_st,
,,,$0.4$,,vmax_v_pgareduction,
,,,$0.3$,,km_v_pgareduction_ATP_st,
,,,$10$,,km_v_pgareduction_PGA,
,,,$0.05$,,km_v_pgareduction_NADPH_st,
,,,$0.89$,,ki_v_pgareduction_ADP_st,
,,,$0.2235$,,vmax_v_carbohydrate_synthesis,
,,,$0.8$,,keq_v_carbohydrate_synthesis,
,,,$22$,,km_v_carbohydrate_synthesis_DHAP,
,,,$1$,,ki_v_carbohydrate_synthesis_ADP_st,
,,,$0.0585$,,vmax_v_rpp,
,,,$0.06$,,keq_v_rpp,
,,,$0.5$,,km_v_rpp_DHAP,
,,,$5.012e-05$,,H,
,,,$200$,,vmax_v_co2_hydration,
,,,$0.00056$,,keq_v_co2_hydration,
,,,$2.8$,,km_v_co2_hydration_CO2,
,,,$34$,,km_v_co2_hydration_HCO3,
,,,$502$,,keq_v_FNR,
,,,$0.0072$,,km_v_FNR_NADP_st,
,,,$0.036$,,km_v_FNR_NADPH_st,
,,,$200$,,Kj_NADPH,
,,,$5734$,,keq_v_ATPsynth,
,,,$0.014$,,km_v_ATPsynth_ADP_st,
,,,$0.3$,,km_v_ATPsynth_Pi_st,
,,,$0.3$,,km_v_ATPsynth_ATP_st,
,,,$200$,,Kj_ATP,
,,,$0.5$,,gm,
,,,$30303.0303030303$,,Kh_co2,
,,,$150$,,Kd,
,,,$900$,,Ki,
,,,$-0.1$,,tau0,
,,,$0.5$,,chi_beta,
,,,$0$,,phi,
,,,$1.2$,,pi_e,
,,,$12$,,Kh,
,,,$10$,,Ds,
,,,$0.01$,,gs0,
,,,$0.5$,,NADP_tot,
