Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
Total adenylates,$AP_\mathrm{Tot}$,$A_\mathrm{Tot}$,$1.5$,$\mathrm{mM}$,AP_tot,Wang et al. 2014
Total inorganic phosphorus,$\mathrm{P_i}$,$[P_\mathrm{i}]$,$15$,$\mathrm{mM}$,Pi_tot,Lilley et al. 1977
$\mathrm{O_2}$ partial pressure (gas),$p(\mathrm{O_2})$,$\mathrm{p\ O_2}$,$210000$,$\mathrm{\mu bar}$,p_o2,
$\mathrm{O_2}$ volatility,$K_\mathrm{h|O_2}$,$K_\mathrm{h}\ \mathrm{O_2}$,$833300$,$\mathrm{\mu bar mM^{-1}}$,Kh_o2,Warneck and Williams 2012
Mesophyll volume per $\mathrm{m^2}$ of leaf,$V_\mathrm{M}$,Volume M,$0.03$,$\mathrm{dm^3\ m^{-2}}$,V_m,
Incident radiation,$\mathrm{PPFD}$,$I_\mathrm{inc}$,$1500$,$\mathrm{\mu\ mol\ m^{-2}\ s^{-1}}$,PPFD,
Respiration in the light,$R_\mathrm{light}$,$R_\mathrm{LIGHT}$,$0.001$,$\mathrm{\mu\ mol\ m^{-2}\ s^{-1}}$,RLight,
Lumped energy conversion coefficient,$s_\mathrm{ener}$,$s$,$0.43$,$\mathrm{electrons\ quanta^{-1}}$,s,Bellasio et al. 2016
Yield of PSII extrapolate under zero PPFD,$\Phi (\mathrm{II})_0$,$Y(II)_\mathrm{LL}$,$0.72$,,PhiPSII_LL,Bellasio et al. 2016
Yield of PSI extrapolate under zero PPFD,$\Phi (\mathrm{I})_0$,$Y(I)_\mathrm{LL}$,$1$,$\mathrm{electrons\ quanta^{-1}}$,PhiPSI_LL,Yin et al. 2004
Initial slope of PPFD hyperbola in regard of $\Phi (\mathrm{II})$,$\alpha_\mathrm{PPFD|\Phi (\mathrm{II})}$,$\alpha_{Y(II)}$,$0.00125$,,alpha_ppfd_PhiPSII,
Y-intercept of PPFD hyperbola in regard of $\Phi (\mathrm{II})$,$V_\mathrm{0|PPFD|\Phi (\mathrm{II})}$,$V_{0Y(II)}$,$-0.8$,,V0_ppfd_PhiPSII,
Curvature of PPFD hyperbola in regard of $\Phi (\mathrm{II})$,$\theta_\mathrm{PPFD|\Phi (\mathrm{II})}$,$\theta_{Y(II)}$,$0.7$,,theta_ppfd_PhiPSII,
Fraction of electron flow used by nitrate assimilation,$f_\mathrm{PseudocycNR}$,$f_\mathrm{PSEUDO\ NR}$,$0.01$,,f_pseudocycNR,
Fraction of electron flow through the Q-cycle,$f_\mathrm{Q}$,$f_\mathrm{Q}$,$1$,,fq,Yin et al. 2004
Fraction of electron flow through the NDH complex,$f_\mathrm{NDH}$,$f_\mathrm{NDH}$,$0$,,f_ndh,Yamori and Shikanai 2016
Number of protons per ATP,$h$,$h$,$4$,$\mathrm{protons ATP^{-1}}$,h,Yin and Struik 2012
Atmospheric $\mathrm{CO_2}$ concentration,$C_\mathrm{a}$,$C_\mathrm{a}$,$400$,$\mathrm{\mu bar}$,Ca,
Initial slope of PPFD hyperbola in regard of RuBisCO,$\alpha_\mathrm{PPFD|RuBisCO}$,$\alpha_\mathrm{V}$,$0.0018$,,alpha_ppfd_rub,
Y-intercept of PPFD hyperbola in regard of RuBisCO,$V_\mathrm{0|PPFD|RuBisCO}$,$V_{0}$,$0.16$,,V0_ppfd_rub,
Curvature of PPFD hyperbola in regard of RuBisCO,$\theta_\mathrm{PPFD|RuBisCO}$,$\theta_\mathrm{V}$,$0.95$,,theta_ppfd_rub,
Initial slope of $\mathrm{CO_2}$ hyperbola in regard of RuBisCO,$\alpha_\mathrm{CO_2|RuBisCO}$,$\alpha_\mathrm{C}$,$400$,,alpha_co2,
Y-intercept of $\mathrm{CO_2}$ hyperbola in regard of RuBisCO,$V_\mathrm{0|CO_2|RuBisCO}$,$V_{0C}$,$-0.2$,,V0_co2,
Curvature of $\mathrm{CO_2}$ hyperbola in regard of RuBisCO,$\theta_\mathrm{CO_2|RuBisCO}$,$\theta_\mathrm{C}$,$0.98$,,theta_co2,
Time constant for RuBisCO induction,$\tau_{\mathrm{i}|R_\mathrm{act}}$,$\tau_\mathrm{i}$,$360$,$\mathrm{s}$,tau_i,Seemann et al. 1988
Time constant for RuBisCO deactivation,$\tau_{\mathrm{d}|R_\mathrm{act}}$,$\tau_\mathrm{d}$,$1200$,$\mathrm{s}$,tau_d,Seemann et al. 1988
Michealis-Menten constant for $\mathrm{CO_2}$ in RuBisCO carboxylase,$K_\mathrm{m|RuBisCO|CO_2}$,$K_\mathrm{C}$,$0.014$,$\mathrm{mM}$,km_v_RuBisCO_c_CO2,von Caemmerer 2000
Michealis-Menten constant for RUBP in RuBisCO carboxylase,$K_\mathrm{m|RuBisCO|RUBP}$,$K_\mathrm{m}\ \mathrm{RuBP}$,$0.02$,$\mathrm{mM}$,km_v_RuBisCO_c_RUBP,Zhu et al. 2007
Michealis-Menten constant for $\mathrm{O_2}$ in RuBisCO carboxylase,$K_\mathrm{m|RuBisCO|O_2}$,$K_\mathrm{O}$,$0.222$,$\mathrm{mM}$,km_v_RuBisCO_c_O2,Zhu et al. 2007
Inhibition constant for PGA in RuBisCO carboxylase,$K_\mathrm{i|RuBisCO|PGA}$,$K_\mathrm{i}\ \mathrm{PGA}$,$2.52$,$\mathrm{mM}$,ki_v_RuBisCO_c_PGA,Zhu et al. 2007
Inhibition constant for NADP in RuBisCO carboxylase,$K_\mathrm{i|RuBisCO|NADP}$,$K_\mathrm{i}\ \mathrm{NADP}$,$0.21$,$\mathrm{mM}$,ki_v_RuBisCO_c_NADP_st,Zhu et al. 2007
Inhibition constant for ADP in RuBisCO carboxylase,$K_\mathrm{i|RuBisCO|ADP}$,$K_\mathrm{i}\ \mathrm{ADP}$,$0.2$,$\mathrm{mM}$,ki_v_RuBisCO_c_ADP_st,Zhu et al. 2007
Inhibition constant for Pi in RuBisCO carboxylase,$K_\mathrm{i|RuBisCO|ADP}$,$K_\mathrm{i}\ \mathrm{P_i}$,$3.6$,$\mathrm{mM}$,ki_v_RuBisCO_c_Pi_st,Zhu et al. 2007
Maximum rate of RuBisCO carboxylation,$V_\mathrm{max|RuBisCO}$,$V_\mathrm{cmax}$,$0.2$,$\mathrm{mmol\ m^{-2}\ s^{-1}}$,vmax_v_RuBisCO_c,
Turnover per S1L1,$k_\mathrm{cat|RuBisCO}$,Cat n°,$4.7$,$\mathrm{s^{-1}}$,kcat_v_RuBisCO_c,Zhu et al. 2007
Specificity in the gas phase,$S_\mathrm{C|O}$,$S_\mathrm{C/O}$,$2200$,,S_co_gas,Bellasio et al. 2016
Maximum rate of PRKase,$V_\mathrm{max|PRKase}$,$V_\mathrm{max}\ \mathrm{RuP_{Phosp}}$,$1.17$,$\mathrm{mmol\ m^{-2}\ s^{-1}}$,vmax_v_PRKase,Zhu et al. 2007
Equilibirum constant in PRKase,$K_\mathrm{eq|PRKase}$,$K_\mathrm{e}\ \mathrm{RuP_{Phosp}}$,$6846$,$\mathrm{mM}$,keq_v_PRKase,Zhu et al. 2007
Michealis-Menten constant for ATP in PRKase,$K_\mathrm{m|PRKase|ATP}$,$K_\mathrm{m}\ \mathrm{ATP}$,$0.625$,$\mathrm{mM}$,km_v_PRKase_ATP_st,Zhu et al. 2007
Inhibition constant for ADP in PRKase,$K_\mathrm{i|PRKase|ADP}$,$K_\mathrm{i}\ \mathrm{ADP}$,$0.1$,$\mathrm{mM}$,ki_v_PRKase_ADP_st,Zhu et al. 2007
