Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$1$,,stoic_PSII,
,,,$1$,,stoic_PSI,
,,,$7$,,PQ_tot,
,,,$0.015848931924611134$,,H_stroma,
,,,$1000$,,AP_tot,
,,,$2.62e-21$,,V_lumen,
,,,$2.09e-20$,,V_stroma,
,,,$1$,,sigma_PSI_0,
,,,$25000$,,k1p,
,,,$2500$,,k1m,
,,,$100$,,k2p,
,,,$10$,,k2m,
,,,$0.05$,,k3,
,,,$0.004$,,k4,
,,,$100$,,k5,
,,,$10$,,k6,
,,,$500$,,k7,
,,,$1$,,k_X,
,,,$10000$,,L_PSI,
,,,$0.01$,,bH,
,,,$0.6$,,NPQ_max,
,,,$4.3e-08$,,cEqP,
,,,$1$,,keq_NPQ,
,,,$5.3$,,n_NPQ,
,,,$6.02214076e+17$,,N_A,
,,,$50$,,PPFD,
,,,$0$,,PPFD_add,
,,,$1$,,f,
,,,$1$,,PSI_total,
,,,$0.25$,,Fluo_0,
,,,$1$,,Q_total,
