Name,Common Abbr.,Paper Abbr.,KEGG ID,Python Var,Glossary ID
Reduced primary quinone of PSII,$\mathrm{Q_{A|red}}$,$\mathrm{Q_{A}}^{-}$,,QA_red,65
Plastoquinol,$\mathrm{PQH}_2$,$\mathrm{PQH_2}$,C16693,PQH_2,1
Lumen pH,$\mathrm{pH}_\mathrm{lu}$,$\mathrm{pH_{lumen}}$,C00080,pH_lumen,16
Transthylakoid electric field,$\Delta \Psi _{\mathrm{thylakoid}}$,$\Delta \Psi$,,Dpsi,63
Lumenal K+ concentration,$\mathrm{K}^{+}_{\mathrm{lu}}$,$\mathrm{K}^{+}_{\mathrm{lumen}}$,C00238,K_lu,59
Oxidized Plastocyanine,$\mathrm{PC}_\mathrm{ox}$,$\mathrm{PC}^+$,C03162,PC_ox,17
Oxidised state of PSI (P700+),$\mathrm{Y_2}$,$\mathrm{P_{700}}^+$,M00163,Y2,57
Zeaxanthin concentration,$\mathrm{Zx}$,$\mathrm{Zx}$,C06098,Zx,10
Number of $^1\mathrm{O_2}$,$^1\mathrm{O_2}$,$\mathrm{sing}^{O2}$,C00007,singO2,70
Reduced Ferrodoxin,$\mathrm{Fd}_\mathrm{red}$,$\mathrm{Fd_{red}}$,C00138,Fd_red,37
Stromal NADPH concentration,$\mathrm{NADPH}_\mathrm{st}$,$\mathrm{NADPH}$,C00005,NADPH_st,19
Lumenal Cl- concentration,$\mathrm{Cl}^{-}_{\mathrm{lu}}$,$\mathrm{Cl}^{-}_{\mathrm{lumen}}$,C00698,Cl_lu,61
Stromal Cl- concentration,$\mathrm{Cl}^{-}_{\mathrm{st}}$,$\mathrm{Cl}^{-}_{\mathrm{stroma}}$,C00698,Cl_st,62
