Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$50$,,PPFD,
,,,$0.33$,,k_recomb,
,,,$0.45$,,phi_triplet,
,,,$1$,,phi_1O2,
,,,$0.5$,,sigma0_II,
,,,$0.433$,,c_b6f,
,,,$6.2$,,pKa_reg,
,,,$0.37$,,Em_PC_pH7,
,,,$0.11$,,Em_PQH2_pH7,
,,,$300$,,Vmax_b6f,
,,,$6.2$,,pKa_PsbS,
,,,$3$,,NPQ_max,
,,,$7.8$,,pH_st,
,,,$-0.42$,,Em_Fd,
,,,$1000$,,k_NDH1,
,,,$0$,,Vmax_PGR,
,,,$0.5$,,sigma0_I,
,,,$1000$,,k_QA,
,,,$200$,,Keq_QA,
,,,$5000$,,k_PCtoP700,
,,,$1000$,,k_FdtoNADP,
,,,$0.1$,,K_st,
,,,$2500000$,,k_KEA3,
,,,$150$,,P_K,
,,,$0.000587$,,ipt_lu,
,,,$12$,,k_VCCN1,
,,,$800000$,,k_ClCe,
,,,$4.666666666666667$,,HPR,
,,,$200$,,Vmax_ATPsynth,
,,,$0.014$,,b_H,
,,,$0.047$,,vpc,
,,,$0.004$,,k_EZ,
,,,$4$,,nh_VDE,
,,,$5.65$,,pKa_VDE,
,,,$0.08$,,Vmax_VDE,
,,,$30000000.0$,,k_leak,
,,,$1$,,QA_total,
,,,$7$,,PQ_tot,
,,,$0.667$,,P700_total,
,,,$2$,,PC_tot,
,,,$1$,,Fd_tot,
,,,$5$,,NADP_tot,
,,,$1$,,Carotenoids_tot,
