Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$1.5$,,Pi_st,
,,,$300$,,Vmax_b6f,
,,,$0.433$,,c_b6f,
,,,$6.2$,,pKa_reg,
,,,$0.37$,,Em_PC_pH7,
,,,$0.11$,,Em_PQH2_pH7,
,,,$-0.42$,,Em_Fd,
,,,$1000$,,k_NDH1,
,,,$0$,,Vmax_PGR,
,,,$0.08$,,Vmax_VDE,
,,,$5.65$,,pKa_VDE,
,,,$4$,,nh_VDE,
,,,$0.004$,,k_EZ,
,,,$6.2$,,pKa_PsbS,
,,,$36$,,DeltaG0_ATP,
,,,$4.666666666666667$,,HPR,
,,,$200$,,Vmax_ATPsynth,
,,,$96.485$,,F,
,,,$3$,,NPQ_max,
,,,$0.33$,,k_recomb,
,,,$0.45$,,phi_triplet,
,,,$1$,,phi_1O2,
,,,$10$,,PAR,
,,,$1$,,PSII_max,
,,,$0.5$,,sigma0_II,
,,,$1000$,,k_QA,
,,,$200$,,K_QA,
,,,$0.047$,,vpc,
,,,$0.5$,,sigma0_I,
,,,$0.000587$,,ipt_lu,
,,,$0.014$,,b_H,
,,,$5.87e-05$,,ipt_st,
,,,$150$,,P_K,
,,,$12$,,k_VCCN1,
,,,$80000$,,k_ClCe,
,,,$5000$,,k_PCtoP700,
,,,$2500000$,,k_KEA3,
,,,$1000$,,k_FdtoNADP,
,,,$60$,,k_CBB,
,,,$30000000$,,k_Leak,
,,,$7.8$,,pH_st,
