Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
Stromal concentration of orthophosphate,"$\mathrm{P}_\mathrm{i,\ st}$",$\mathrm{P}_\mathrm{i}$,$1.5$,$\mathrm{mM}$,Pi_st,
The maximum turnover rate for oxidation of PQH2 by the b6f complex at high pH,$V_\mathrm{max|b6f}$,$V_{max}\left( \mathrm{b6f} \right)$,$300$,$\mathrm{s}^{-1}$,Vmax_b6f,
Relative content of cytochrome b6f to PSII,$c_{\mathrm{b6f}}$,$\mathrm{cytochrome b_6f content}$,$0.433$,$\mathrm{PSII}^{-1}$,c_b6f,
The regulatory pKa at which the cytochrome b6f complex is slowed by lumen pH,$\mathrm{pK_{a|reg}}$,$\mathrm{pK_{reg}}$,$6.2$,,pKa_reg,
The midpoint potential of the plastocyanin couple at pH=7,$E_\mathrm{m|PC|pH7}$,$Em_\mathrm{PC\_pH7}$,$0.37$,$\mathrm{V}$,Em_PC_pH7,
The midpoint potential of the PQ/PQH2 couple at pH=7,$E_\mathrm{m|PQH2|pH7}$,$Em_\mathrm{PQH2\_pH7}$,$0.11$,$\mathrm{V}$,Em_PQH2_pH7,
The midpoint potential of ferredoxin,$E_\mathrm{m|Fd}$,$Em_{Fd}$,$-0.42$,$\mathrm{V}$,Em_Fd,
The rate constant for NDH,$k_\mathrm{{NDH1}$,$k_\mathrm{{NDH}}$,$1000$,$\mathrm{s}^{-1}$,k_NDH1,
The maximal turnover of the PGR5/PGRL1,$V_\mathrm{max|PGR}$,$V_{max}\left( \mathrm{PGR} \right)$,$0$,,Vmax_PGR,
The maximal turnover of the fully protonated VDE enzyme,$V_\mathrm{max|VDE}$,$V_{max}\left( \mathrm{VDE} \right)$,$0.08$,$\mathrm{s}^{-1}$,Vmax_VDE,
The pKa for protonation and activation of VDE,$\mathrm{pK_{a|VDE}}$,$\mathrm{pK_{VDE}}$,$5.65$,,pKa_VDE,
The Hill coefficient for protonation of VDE,$nh_\mathrm{VDE}$,$\mathrm{Hill_{VDE}}$,$4$,,nh_VDE,
The rate constant for ZE (zeaxanthin epoxidase),$k_\mathrm{kEpoxZ}$,$k_\mathrm{ZE},$0.004$,$\mathrm{s}^{-1}$,k_EZ,
The pKa for protonation and activation of PsbS,$\mathrm{pK_{a|PsbS}}$,$\mathrm{pK_{PsbS}}$,$6.2$,,pKa_PsbS,
Comparision of the H+/ATP ratios of ATP synthase,$\Delta _\mathrm{f} G^\circ_\mathrm{ATP}$,$\Delta G_{\mathrm{ATP}}$,$36$,$\mathrm{kJ}\ \mathrm{mol}^{-1}$,DeltaG0_ATP,
Ratio of protons to ATP in ATP synthase,$\mathrm{HPR}$,$\mathrm{HPR}$,$\frac{14}{3}$,,HPR,
Normalized maximal rate of ATP synthase,$V_\mathrm{max|ATPsynth}$,$V_\mathrm{max|ATPsynth}$,$200$,$\mathrm{s}^{-1}$,Vmax_ATPsynth,
Faraday constant,$F$,$F$,$96.485$,$\mathrm{kJ}$,F,
Maximum NPQ,$\mathrm{NPQ_{max}}$,$NPQ_{max}$,$3$,,NPQ_max,
The average recombination rate for S2QA- and S3QA-,$k_\mathrm{recomb}$,$k_{recomb}$,$0.33$,$\mathrm{s}^{-1}$,k_recomb,
