Short Description,Common Abbr.,Paper Abbr.,KEGG ID,Python Var,Glossary ID
Rate of PSII recombination,$v_\mathrm{PSII|recomb}$,$PSII_{recom}$,,vPSII_recomb,56
Number of charge seperations in PSII per second,$\mathrm{PSII_{ChSep}}$,$PSII_{charge}$,,vPSII_ChSep,55
Reduction of PQ due to PSII,$v_{\mathrm{PSII}}$,$v_{PSII}$,R09503,v_PSII,1
Oxidation of the PQ pool through cytochrome and PTOX,$v_{\mathrm{PQ}_{\mathrm{ox}}}$,$v_{PQ}$,,v_PQ,2
Rate of the b6f complex,$v_{\mathrm{b6f}}$,$v_{b6f}$,R03817,v_b6f,9
Reduction of PQ pool by NADH reductase,$v_{\mathrm{NDH}}$,$v_{NDH}$,,v_NDH,12
Rate of PRG5,$v_\mathrm{PRG5}$,$v_{PGR}$,,v_PGR,50
Number of charge seperations in PSII per second,$\mathrm{PSI_{ChSep}}$,$PSI_{charge}$,,PSI_ChSep,57
Rate of PC oxidiation by PSI,$v_\mathrm{PSI|PCoxid}$,$PSI_{PC\_oxidiation}$,,v_PSI_PCoxid,58
Reaction mediated by FNR,$v_{\mathrm{FNR}}$,$v_{NADPH}$,R01195,v_FNR,10
Mehler reaction lumping the reduction of O2 instead of Fd,$v_{\mathrm{Mehler}}$,$v_{Mehler}$,,v_Mehler,45
The rate for a simplified Calvin-Benson Cycle,$v_\mathrm{CBB}$,$v_{CBB}$,,v_CBB,59
Rate of K+/H+ anitporter KEA3,$v_\mathrm{KEA3}$,$v_{KEA3}$,,v_KEA3,53
Rate of voltage-gated K+ channel,$v_\mathrm{VKC}$,$v_{K\_channel}$,,v_VKC,54
Rate of main voltage-gated chloride channel (VCCN1),$v_\mathrm{VCCN1}$,$v_{VCCN1}$,,v_VCCN1,51
Rate of ClCe,$v_\mathrm{ClCe}$,$v_{ClCe}$,,v_ClCe,52
Transmembrane Proton Leak,$v_{\mathrm{Leak}}$,$v_{leak}$,,v_Leak,5
Pmf activity,$v_\mathrm{pmf}$,$v_{pmf}$,,v_pmf_protons_activity,
Epoxidation of violaxanthin,$v_{\mathrm{Epox}}$,$v_{ZE}$,R10070,v_Epox,17
De-epoxidation of violaxanthin,$v_{\mathrm{Deepox}}$,$v_{VDE}$,R10070,v_Deepox,16
