Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$2.5$,,PSII_tot,
,,,$20$,,PQ_tot,
,,,$50$,,AP_tot,
,,,$1$,,PsbS_tot,
,,,$1$,,X_tot,
,,,$8$,,O2_ex,
,,,$0.01$,,Pi,
,,,$0.104$,,k_Cytb6f,
,,,$0.01$,,k_ActATPase,
,,,$0.002$,,k_DeactATPase,
,,,$20.0$,,k_ATPsynth,
,,,$10.0$,,k_ATPconsum,
,,,$250.0$,,k_PQH2,
,,,$5000000000.0$,,k_H,
,,,$625000000.0$,,k_F,
,,,$5000000000.0$,,k_P,
,,,$0.01$,,k_PTOX,
,,,$7.8$,,pH_st,
,,,$1000$,,k_leak,
,,,$100$,,b_H,
,,,$4.666666666666667$,,hpr,
,,,$0.0024$,,k_DV,
,,,$0.00024$,,k_EZ,
,,,$5.8$,,K_pHSat,
,,,$5.0$,,nhx,
,,,$0.12$,,K_ZSat,
,,,$3$,,nhl,
,,,$0.0096$,,k_deprot,
,,,$0.0096$,,k_prot,
,,,$5.8$,,K_pHSatLHC,
,,,$0.1$,,gamma_0,
,,,$0.25$,,gamma_1,
,,,$0.6$,,gamma_2,
,,,$0.15$,,gamma_3,
,,,$96.485$,,F,
,,,$0.0083$,,R,
,,,$298$,,T,
,,,$-0.14$,,E0_QA,
,,,$0.354$,,E0_PQ,
,,,$0.38$,,E0_PC,
,,,$30.6$,,DG_ATP,
,,,$100$,,pfd,
