Short Description,Common Abbr.,Paper Abbr.,Value,Unit,MetaCyc ID,Python Var,Reference
Photon Flux Density,$\mathrm{PFD}$,$\mathrm{PFD}$,$100$,$\mathrm{µE\ m^{-2}\ s^{-1}}$,,pfd,
PSII reaction centres pool,$\mathrm{PSII^{tot}}$,$\mathrm{PSII^{tot}}$,$2.5$,$\mathrm{mmol(mol\ Chl)^{-1}}$,,PSII_tot,https://doi.org/10.1104/pp.104.052324
Plastoquinone pool,$\mathrm{PQ^{tot}}$,$\mathrm{PQ^{tot}}$,$20$,$\mathrm{mmol(mol\ Chl)^{-1}}$,,PQ_tot,https://doi.org/10.1021/bi011650y
Total adenosine phosphate pool,$\mathrm{AP^{tot}}$,$\mathrm{AP^{tot}}$,$50$,$\mathrm{mmol(mol\ Chl)^{-1}}$,,AP_tot,https://doi.org/10.1104/pp.95.4.1131
"Total PsbS protein pool, LHCII normalized",$\mathrm{PsbS^{tot}}$,$\mathrm{PsbS^{tot}}$,$1$,,,PsbS_tot,
Total xanthophyll pool normalized,$\mathrm{X^{tot}}$,$\mathrm{X^{tot}}$,$1$,,,X_tot,
"External oxygen pool, corresponds to $250\ \mathrm{µM}$",$\mathrm{O_2^{ex}}$,$\mathrm{O_2^{ex}}$,$8$,$\mathrm{mmol(mol\ Chl)^{-1}}$,,O2_ex,https://doi.org/10.1098/rstb.2013.0223
Internal phosphates pool,$\mathrm{Pi^{mol}}$,$\mathrm{Pi^{mol}}$,$0.01$,,,Pi,
,$k_{\mathrm{Cytb6f}}$,$k_{\mathrm{Cytb6f}}$,$0.104$,$\mathrm{mmol^{-2}(mol\ Chl)^{2}s^{-1}}$,,k_Cytb6f,
Rate constant of ATPase activation in the light,$k_{\mathrm{ActATPase}}$,$k_{\mathrm{ActATPase}}$,$0.01$,$\mathrm{s}^{-1}$,,k_ActATPase,
Parameter of ATPase deactivation in the night,$k_{\mathrm{DeactATPase}}$,$k_{\mathrm{DeactATPase}}$,$0.002$,$\mathrm{s}^{-1}$,,k_DeactATPase,
,$k_{\mathrm{ATPsynthase}}$,$k_{\mathrm{ATPsynthase}}$,$20$,$\mathrm{s}^{-1}$,,k_ATPsynth,https://doi.org/10.1098/rstb.2013.0223
,$k_{\mathrm{ATPconsumption}}$,$k_{\mathrm{ATPconsumption}}$,$10$,$\mathrm{s}^{-1}$,,k_ATPconsum,https://doi.org/10.1098/rstb.2013.0223
,$k_{\mathrm{PQH_2}}$,$k_{\mathrm{PQred}}$,$250$,$\mathrm{mmol^{-1}(mol\ Chl)s^{-1}}$,,k_PQH2,https://doi.org/10.1098/rstb.2013.0223
Rate of non-radiative decay,$k_H$,$k_H$,$5 \cdot 10^9$,$\mathrm{s}^{-1}$,,k_H,https://doi.org/10.1098/rstb.2013.0223
