Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$100.0$,,PPFD,
,,,$0.2$,,CO2,
,,,$8.0$,,O2_lumen,
,,,$100.0$,,bH,
,,,$96.485$,,F,
,,,$0.032$,,convf,
,,,$0.0083$,,R,
,,,$298.0$,,T,
,,,$1.0$,,Carotenoids_tot,
,,,$5.0$,,Fd_tot,
,,,$4.0$,,PC_tot,
,,,$1.0$,,PSBS_tot,
,,,$1.0$,,LHC_tot,
,,,$0.1$,,gamma0,
,,,$0.25$,,gamma1,
,,,$0.6$,,gamma2,
,,,$0.15$,,gamma3,
,,,$0.12$,,kZSat,
,,,$17.5$,,PQ_tot,
,,,$0.1$,,staticAntII,
,,,$0.37$,,staticAntI,
,,,$1.0$,,Thioredoxin_tot,
,,,$6.0$,,E_total,
,,,$0.8$,,NADP_tot,
,,,$2.55$,,AP_tot,
,,,$17.05$,,Pi_tot,
,,,$1.0$,,kf_v_FdTrReduc,
,,,$1.0$,,kf_v_Eact,
,,,$0.1$,,kf_v_Einact,
,,,$10$,,ASC_tot,
,,,$10.0$,,Glutathion_tot,
,,,$20.0$,,kf_v_ATPsynth,
,,,$4.666666666666667$,,HPR,
,,,$0.01$,,Pi_mol,
,,,$30.6$,,DeltaG0_ATP,
,,,$2.5$,,kcat_v_b6f,
,,,$3.0$,,kh_v_PsbSP,
,,,$0.0096$,,kf_v_PsbSP,
,,,$5.8$,,ksat_v_PsbSP,
,,,$0.0096$,,kf_v_PsbSD,
,,,$1.0$,,kf_v_Cyc,
,,,$0.0024$,,kf_v_Deepox,
,,,$5.0$,,kh_v_Deepox,
,,,$5.8$,,ksat_v_Deepox,
,,,$0.00024$,,kf_v_Epox,
,,,$1.56$,,km_v_FNR_Fd_red,
,,,$0.22$,,km_v_FNR_NADP_st,
,,,$3.0$,,Enz0_v_FNR,
,,,$500.0$,,kcat_v_FNR,
,,,$0.002$,,kf_v_NDH,
,,,$2.5$,,PSII_total,
,,,$2.5$,,PSI_total,
,,,$500000000.0$,,kH0,
,,,$250.0$,,kPQred,
,,,$2500.0$,,kPCox,
,,,$250000.0$,,kFdred,
,,,$5000000000.0$,,k2,
,,,$5000000000.0$,,kH,
,,,$625000000.0$,,kF,
,,,$1.0$,,kMehler,
,,,$1.0$,,Enz0_v_Fdred,
,,,$250000.0$,,kcat_v_Fdred,
,,,$10.0$,,kf_v_Leak,
,,,$0.01$,,kPTOX,
,,,$0.0035$,,kStt7,
,,,$0.2$,,km_v_St12,
,,,$2.0$,,n_ST,
,,,$0.0013$,,kPph1,
,,,$1.0$,,Enz0_rubisco,
,,,$2.72$,,kcat_v_RuBisCO_c,
,,,$0.02$,,km_v_RuBisCO_c_RUBP,
,,,$0.0107$,,km_v_RuBisCO_c_CO2,
,,,$0.04$,,ki_v_RuBisCO_c_PGA,
,,,$0.04$,,ki_v_RuBisCO_c_FBP,
,,,$0.075$,,ki_v_RuBisCO_c_SBP,
,,,$0.9$,,ki_v_RuBisCO_c_Pi_st,
,,,$0.07$,,ki_v_RuBisCO_c_NADPH_st,
,,,$800000000.0$,,kre_v_PGK1ase,
,,,$0.00031$,,keq_v_PGK1ase,
,,,$800000000.0$,,kre_v_BPGAdehynase,
,,,$16000000.0$,,keq_v_BPGAdehynase,
,,,$800000000.0$,,kre_v_TPIase,
,,,$22.0$,,keq_v_TPIase,
,,,$800000000.0$,,kre_v_Aldolase_FBP,
,,,$7.1$,,keq_v_Aldolase_FBP,
,,,$800000000.0$,,kre_v_Aldolase_SBP,
,,,$13.0$,,keq_v_Aldolase_SBP,
,,,$1.0$,,Enz0_v_FBPase,
,,,$1.6$,,kcat_v_FBPase,
,,,$0.03$,,km_v_FBPase_s,
,,,$0.7$,,ki_v_FBPase_F6P,
,,,$12.0$,,ki_v_FBPase_Pi_st,
,,,$800000000.0$,,kre_v_TKase_E4P,
,,,$0.084$,,keq_v_TKase_E4P,
,,,$800000000.0$,,kre_v_TKase_R5P,
,,,$0.85$,,keq_v_TKase_R5P,
,,,$1.0$,,Enz0_v_SBPase,
,,,$0.32$,,kcat_v_SBPase,
,,,$0.013$,,km_v_SBPase_s,
,,,$12.0$,,ki_v_SBPase_Pi_st,
,,,$800000000.0$,,kre_v_Rpiase,
,,,$0.4$,,keq_v_Rpiase,
,,,$800000000.0$,,kre_v_RPEase,
,,,$0.67$,,keq_v_RPEase,
,,,$1.0$,,Enz0_v_PRKase,
,,,$7.9992$,,kcat_v_PRKase,
,,,$0.05$,,km_v_PRKase_RU5P,
,,,$0.05$,,km_v_PRKase_ATP_st,
,,,$2.0$,,ki_v_PRKase_PGA,
,,,$0.7$,,ki_v_PRKase_RUBP,
,,,$4.0$,,ki_v_PRKase_Pi_st,
,,,$2.5$,,ki_v_PRKase_4,
,,,$0.4$,,ki_v_PRKase_5,
,,,$800000000.0$,,kre_v_PGIase,
,,,$2.3$,,keq_v_PGIase,
,,,$800000000.0$,,kre_v_PGMase,
,,,$0.058$,,keq_v_PGMase,
,,,$0.5$,,Pi_ext,
,,,$0.25$,,km_v_pga_ex,
,,,$0.075$,,km_v_gap_ex,
,,,$0.077$,,km_v_dhap_ex,
,,,$0.74$,,km_IF_3P_Pi_ext,
,,,$0.63$,,km_IF_3P_Pi_st,
,,,$2.0$,,kcat_IF_3P,
,,,$1.0$,,Enz0_IF_3P,
,,,$1.0$,,Enz0_v_starch,
,,,$0.08$,,km_v_starch_G1P,
,,,$0.08$,,km_v_starch_ATP_st,
,,,$10.0$,,ki_v_starch,
,,,$0.1$,,ki_v_starch_PGA,
,,,$0.02$,,ki_v_starch_F6P,
,,,$0.02$,,ki_v_starch_FBP,
,,,$0.32$,,kcat_v_starch,
,,,$500.0$,,kf_v_3ASC,
,,,$0.002$,,Enz0_v_MDAreduct,
,,,$300.0$,,kcat_v_MDAreduct,
,,,$0.023$,,km_v_MDAreduct_NADPH_st,
,,,$0.0014$,,km_v_MDAreduct_MDA,
,,,$10000.0$,,kf1,
,,,$220.0$,,kr1,
,,,$10000.0$,,kf2,
,,,$4000.0$,,kr2,
,,,$2510.0$,,kf3,
,,,$10000.0$,,kf4,
,,,$4000.0$,,kr4,
,,,$2510.0$,,kf5,
,,,$0.07$,,XT,
,,,$0.0014$,,Enz0_v_GR,
,,,$595$,,kcat_v_GR,
,,,$0.003$,,km_v_GR_NADPH_st,
,,,$0.2$,,km_v_GR_GSSG,
,,,$0.07$,,km_v_DHAR_DHA,
,,,$2.5$,,km_v_DHAR_GSH,
,,,$0.5$,,K,
,,,$0.0017$,,Enz0_v_DHAR,
,,,$142$,,kcat_v_DHAR,
,,,$0.2$,,kf_v_ATPcons,
,,,$0.2$,,kf_v_NADPHcons,
,,,$7.9$,,pH_stroma,
,,,$1.2589254117941661e-05$,,H_stroma,
,,,$-0.14$,,E0_QA,
,,,$0.354$,,E0_PQ,
,,,$0.38$,,E0_PC,
,,,$0.48$,,E0_P700,
,,,$-0.55$,,E0_FA,
,,,$-0.43$,,E0_Fd,
,,,$-0.113$,,E0_NADP,
