Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$0.0032$,,convf,
,,,$2.5$,,PSII_tot,
,,,$2.5$,,PSI_tot,
,,,$17.5$,,PQ_tot,
,,,$4.0$,,PC_tot,
,,,$5.0$,,Fd_tot,
,,,$0.8$,,NADP_tot,
,,,$2.55$,,AP_tot,
,,,$1.0$,,PsbS_tot,
,,,$1.0$,,X_tot,
,,,$5000000000.0$,,k_H,
,,,$500000000.0$,,kH0,
,,,$625000000.0$,,k_F,
,,,$5000000000.0$,,k2,
,,,$0.0035$,,k_Stt7,
,,,$0.0013$,,k_Pph1,
,,,$0.2$,,KM_ST,
,,,$2.0$,,n_ST,
,,,$0.37$,,sigma0_I,
,,,$0.1$,,sigma0_II,
,,,$20.0$,,k_ATPsynth,
,,,$0.01$,,Pi_mol,
,,,$30.6$,,DeltaG0_ATP,
,,,$4.666666666666667$,,HPR,
,,,$7.9$,,pH_stroma,
,,,$10.0$,,k_Leak,
,,,$100.0$,,b_H,
,,,$250.0$,,k_PQred,
,,,$2.5$,,k_Cytb6f,
,,,$0.01$,,k_PTOX,
,,,$2500.0$,,k_PCox,
,,,$250000.0$,,k_Fdred,
,,,$500.0$,,kcat_FNR,
,,,$1.0$,,k_cyc,
,,,$8.0$,,O2_ext,
,,,$0.002$,,k_NDH,
,,,$3.0$,,EFNR,
,,,$1.56$,,KM_FNR_F,
,,,$0.22$,,KM_FNR_N,
,,,$0.1$,,gamma_0,
,,,$0.25$,,gamma_1,
,,,$0.6$,,gamma_2,
,,,$0.15$,,gamma_3,
,,,$0.0096$,,k_deprot,
,,,$0.0096$,,k_prot,
,,,$5.8$,,K_pHSatLHC,
,,,$0.0024$,,k_DV,
,,,$0.00024$,,k_EZ,
,,,$5.8$,,K_pHSat,
,,,$5$,,nh_x,
,,,$3.0$,,nh_PsbS,
,,,$0.12$,,K_ZSat,
,,,$-0.14$,,E0_QA,
,,,$0.354$,,E0_PQ,
,,,$0.38$,,E0_PC,
,,,$0.48$,,E0_P700,
,,,$-0.55$,,E0_FA,
,,,$-0.43$,,E0_Fd,
,,,$-0.113$,,E0_NADP,
,,,$96.485$,,F,
,,,$0.0083$,,R,
,,,$298.0$,,T,
,,,$100.0$,,pfd,
,,,$0.0$,,Ton,
,,,$1800$,,Toff,
,,,$True$,,ox,
,,,$0.2$,,CO2,
,,,$17.05$,,P_tot,
